,overall_rating,value,position,skill_moves,attacking_workrate,defensive_workrate,pace,shooting,passing,dribbling,defending,physicality,crossing,finishing,Curve,freekick_accuracy,ballcontrol,sprint_speed,agility,reactions,balance,shot_power,stamina,aggression,interceptions,positioning,vision,composure,marking
29,88,29000000.0,CM,4,Medium,Medium,73,76,89,88,72,66,86,72,85,78,90,70,91,88,92,79,83,62,80,78,90,92,70
30,87,73500000.0,CB,2,High,High,82,53,71,67,86,85,68,40,50,56,72,91,56,85,50,77,71,92,84,49,61,78,88
31,87,88500000.0,CDM,3,Medium,High,58,72,78,79,83,84,63,64,65,61,85,62,65,82,65,89,88,82,83,75,83,85,84
32,87,77000000.0,CDM,3,Medium,High,66,69,78,77,86,83,75,63,71,53,81,68,63,86,64,81,88,85,88,70,76,85,86
33,87,9000000.0,GK,1,Medium,Medium,88,83,74,88,61,84,13,10,12,10,29,62,54,84,56,56,41,31,25,9,59,59,24
34,87,63000000.0,CAM,3,High,High,69,84,83,80,56,71,85,88,81,59,84,71,72,94,71,78,86,62,58,96,86,84,47
35,87,42000000.0,GK,1,Medium,Medium,88,80,76,89,51,84,17,13,21,19,34,50,63,89,43,57,43,30,30,12,53,58,25
36,87,77500000.0,CM,4,Medium,High,60,61,87,91,79,66,82,60,85,64,92,55,90,87,93,60,75,89,85,78,89,94,78
37,87,80000000.0,GK,1,Medium,Medium,85,82,85,89,51,85,18,15,38,16,40,53,41,85,56,64,39,35,25,15,61,66,23
38,87,100500000.0,CM,3,High,Medium,76,69,89,80,80,73,92,62,87,85,86,76,73,83,73,82,89,71,83,78,90,82,79
39,87,72000000.0,LB,3,High,High,80,61,81,81,82,76,88,55,82,71,83,81,75,85,74,76,95,85,84,77,80,83,83
40,87,54500000.0,CB,2,Medium,High,82,33,59,68,88,85,38,25,53,28,72,88,51,83,34,67,70,83,85,35,60,82,90
41,87,91000000.0,CM,3,High,Medium,78,82,82,83,81,86,75,82,76,75,86,78,76,87,73,85,86,82,86,85,84,82,74
42,87,116500000.0,CM,4,High,Medium,82,69,86,87,77,78,78,72,84,64,89,83,87,88,79,68,89,74,82,77,88,90,76
43,86,55500000.0,CM,5,Medium,Medium,61,72,87,90,72,69,78,68,85,77,92,55,90,84,90,75,76,80,82,75,88,90,68
44,86,55000000.0,ST,3,High,Medium,85,87,68,80,39,75,55,91,70,58,81,86,75,87,84,86,78,73,40,90,71,76,34
45,86,68000000.0,ST,3,Medium,Low,80,85,75,77,38,82,73,88,78,66,78,86,59,86,52,87,67,71,27,86,75,82,30
46,86,55500000.0,CB,3,Medium,Medium,79,71,83,80,85,77,83,63,77,85,85,79,76,88,78,82,74,78,87,73,78,85,89
47,86,72500000.0,LW,4,High,Medium,90,80,78,86,45,67,79,82,79,72,84,86,94,91,93,78,79,59,30,91,80,77,47
48,86,56500000.0,RW,5,Medium,Medium,80,83,81,90,38,60,81,84,85,78,90,77,92,83,88,84,75,48,39,83,83,83,45
49,86,69500000.0,CAM,4,High,Low,80,85,85,90,40,59,82,83,89,88,93,76,88,79,90,84,68,43,42,82,91,79,32
50,86,12000000.0,CB,2,Medium,High,49,54,73,72,87,76,60,40,62,61,79,52,62,83,66,71,66,76,89,59,71,86,89
51,86,33500000.0,GK,1,Medium,Medium,86,81,73,87,49,86,12,12,16,14,22,47,55,82,51,55,45,40,15,14,48,65,20
52,86,36000000.0,GK,1,Medium,Medium,84,82,79,87,46,85,13,13,14,12,24,50,42,83,37,59,45,30,22,12,46,64,15
53,86,72500000.0,CAM,4,High,High,72,86,88,81,67,76,85,83,87,85,84,69,78,91,79,88,92,80,64,86,91,79,66
54,86,42000000.0,CM,3,Medium,Medium,50,83,90,80,71,68,86,83,88,90,86,49,63,79,72,81,76,58,80,81,90,85,70
55,86,64500000.0,CB,2,Medium,Medium,61,50,72,69,86,79,58,45,61,69,78,65,57,87,55,68,67,81,87,54,65,84,86
56,86,80000000.0,LM,5,Medium,Medium,92,77,79,87,30,61,81,76,83,70,87,90,92,86,84,83,69,35,23,84,81,78,29
57,86,58000000.0,CDM,3,Medium,Medium,69,74,81,81,81,78,73,69,79,74,84,68,79,83,84,80,94,86,84,67,83,82,80
58,86,89500000.0,CM,3,High,High,79,76,83,84,77,81,79,73,79,67,87,78,90,88,90,77,94,84,83,81,86,86,79
59,86,98500000.0,ST,4,High,Medium,83,83,72,85,48,84,58,88,78,54,86,80,86,89,89,80,80,90,45,86,80,86,55
60,86,68500000.0,CB,2,Low,High,78,41,57,69,88,86,40,42,34,30,72,81,54,86,56,50,81,87,86,30,46,87,91
61,86,94000000.0,CAM,5,High,Medium,88,81,83,88,65,66,81,86,82,80,88,89,88,85,90,79,78,59,67,86,85,81,62
62,86,51000000.0,GK,1,Medium,Medium,84,82,81,88,34,85,10,5,13,14,31,36,50,84,33,61,37,22,13,6,52,58,10
63,86,109000000.0,LW,5,High,Medium,95,79,74,90,29,67,72,84,77,62,89,95,94,82,83,76,84,58,26,82,75,79,32
64,86,77500000.0,CM,4,High,Medium,68,80,82,82,79,86,71,82,81,78,87,70,62,84,63,83,91,79,79,82,83,84,78
65,85,59000000.0,CB,3,Medium,Medium,71,48,66,59,85,83,48,30,33,38,64,80,34,82,44,78,65,86,81,42,66,82,83
66,85,54500000.0,CAM,4,High,Medium,83,82,82,87,38,80,81,83,83,79,86,79,85,81,91,84,80,79,34,82,87,89,34
67,85,59000000.0,RM,4,High,Medium,82,84,79,85,43,69,78,86,74,62,82,79,85,82,88,87,76,63,38,86,82,82,45
68,85,44000000.0,CM,4,High,Medium,64,80,85,85,72,72,78,81,86,80,90,63,77,86,77,79,74,70,75,83,86,87,76
69,85,37500000.0,RB,3,High,High,91,63,77,78,80,82,77,51,76,71,81,94,66,85,69,86,86,84,80,68,69,75,76
70,85,34500000.0,ST,4,High,Low,87,84,74,79,36,68,72,87,80,76,81,89,77,84,67,82,74,43,48,88,74,83,20
71,85,28000000.0,LB,3,High,Medium,84,70,82,82,77,70,86,73,82,63,84,83,87,79,84,64,83,75,80,83,78,80,74
72,85,26500000.0,CDM,3,Medium,Medium,42,62,79,79,82,73,62,67,66,68,85,43,66,81,50,61,75,79,84,76,83,90,83
73,85,26000000.0,ST,3,High,High,82,85,79,86,35,63,80,90,79,83,86,85,87,84,72,79,70,63,39,86,81,85,39
74,85,52500000.0,CM,5,Medium,Low,67,80,85,85,62,80,73,74,85,82,87,72,71,77,65,90,65,79,62,77,90,85,53
75,85,55000000.0,CF,5,High,Low,83,84,82,86,30,79,84,84,85,83,87,84,80,84,81,87,79,72,28,85,85,80,23
76,85,51500000.0,CM,3,Medium,Medium,54,67,86,81,73,73,75,64,75,76,87,47,75,82,72,71,87,79,81,69,88,84,67
77,85,46500000.0,LB,3,High,High,76,74,83,87,80,83,87,66,88,75,88,76,83,84,90,82,91,84,80,81,82,87,81
78,85,53000000.0,ST,3,High,Medium,78,86,77,83,46,72,77,89,77,62,84,78,77,85,72,83,77,61,42,85,78,80,44
79,85,54500000.0,LM,4,High,High,89,82,80,87,53,67,81,81,87,80,86,89,87,81,71,85,79,65,47,82,80,84,44
80,85,53000000.0,LM,3,High,High,84,78,82,82,68,80,92,76,83,80,82,82,76,82,79,86,90,80,63,79,81,82,69
81,85,23000000.0,ST,3,High,Medium,84,84,70,79,52,72,69,90,69,61,83,84,74,88,75,87,73,86,49,90,74,86,45
82,85,116000000.0,CM,4,High,High,79,67,81,87,68,73,68,68,79,62,88,76,88,85,90,66,88,62,72,77,88,87,68
83,85,109500000.0,CAM,4,High,High,82,78,81,88,56,60,76,79,73,68,91,78,91,83,91,82,83,64,59,82,85,84,58
84,85,71000000.0,CB,2,Medium,High,75,59,61,69,84,87,52,50,48,55,73,79,60,84,62,82,75,83,81,44,45,82,84
85,85,67500000.0,ST,4,High,Medium,78,83,71,83,36,76,64,87,78,56,85,82,83,82,67,82,69,65,25,86,74,84,44
86,85,76000000.0,LWB,3,High,Medium,93,72,76,81,78,83,84,69,69,64,79,94,78,85,76,83,90,82,78,80,73,80,74
87,85,76000000.0,ST,4,High,High,85,83,75,85,57,77,73,86,77,58,84,82,86,87,85,85,83,85,56,89,77,80,53
88,85,26500000.0,GK,1,Medium,Medium,85,84,76,85,43,83,16,10,18,11,25,44,41,81,42,57,37,34,23,11,44,45,25
89,85,17500000.0,GK,1,Medium,Medium,78,81,82,90,50,86,13,13,12,13,25,54,55,82,58,62,45,38,21,15,64,57,9
90,85,33500000.0,CAM,4,High,Medium,70,84,84,85,53,65,84,84,88,85,86,66,83,86,81,86,72,51,56,84,86,86,59
91,84,46000000.0,CB,2,Medium,Medium,77,54,70,71,84,80,78,53,59,39,76,77,70,85,72,62,76,90,83,62,63,77,85
92,84,7500000.0,CB,3,High,Medium,61,69,73,70,83,77,63,65,72,75,78,56,66,85,65,79,56,90,84,69,71,86,82
93,84,20000000.0,CAM,4,High,Medium,86,78,83,85,39,54,83,77,85,79,85,83,91,80,93,79,71,56,40,78,85,85,50
94,84,4700000.0,GK,1,Medium,Medium,80,80,65,85,43,90,12,10,20,14,21,47,44,79,36,49,36,25,22,12,41,64,25
95,84,18000000.0,CF,4,High,Low,78,82,80,87,34,49,73,84,82,82,88,74,85,80,92,80,65,59,36,82,84,81,23
96,84,18000000.0,ST,3,High,Medium,70,86,78,78,46,81,75,87,85,81,81,68,70,86,77,86,71,87,39,90,80,86,41
97,84,26500000.0,LW,4,Medium,Medium,68,81,86,84,43,77,88,83,85,79,87,68,73,84,84,79,88,56,41,85,88,87,51
98,84,45000000.0,RM,4,Medium,Medium,82,81,81,86,36,71,77,82,78,75,88,82,92,84,87,83,74,85,26,82,83,78,42
99,84,36000000.0,CDM,3,Medium,High,65,71,81,80,80,83,74,66,69,70,83,68,67,82,50,86,82,84,81,70,85,86,80
100,84,22500000.0,GK,1,Medium,Medium,84,81,76,86,36,84,15,14,12,19,12,34,47,80,29,57,43,25,12,10,62,57,20
101,84,42000000.0,CM,4,High,High,67,80,85,86,68,64,80,75,85,85,88,62,83,84,79,85,78,73,76,79,86,83,69
102,84,42000000.0,CM,4,High,High,70,69,83,88,71,71,73,61,79,70,89,65,86,82,84,79,79,77,75,73,86,84,73
103,84,46000000.0,LW,4,High,Medium,76,76,83,87,46,69,82,76,78,74,87,75,84,81,84,76,80,60,44,81,86,88,48
104,84,36500000.0,RB,3,High,Medium,82,54,77,80,78,79,82,51,76,47,83,84,78,79,82,68,85,85,78,75,72,80,76
105,84,29000000.0,CB,2,Medium,High,64,35,58,58,87,80,36,34,34,30,67,68,58,82,52,43,69,86,87,29,55,80,90
106,84,29000000.0,GK,1,Medium,Medium,85,83,82,85,58,83,22,16,22,20,35,57,49,80,49,62,40,37,13,12,66,60,11
107,84,39000000.0,CB,2,Medium,High,81,49,64,66,85,80,42,46,46,52,75,84,62,82,39,52,67,78,84,55,59,82,85
108,84,35500000.0,CF,4,High,Low,81,84,78,88,39,68,74,87,82,76,88,81,91,85,91,84,72,62,44,89,80,85,34
109,84,35000000.0,CAM,4,High,Medium,84,78,84,89,36,45,76,76,89,86,90,81,90,77,94,76,74,34,26,80,87,81,53
110,84,20000000.0,CB,3,Medium,Medium,53,59,76,72,87,78,65,57,66,53,78,60,60,86,62,71,66,71,87,57,80,89,88
111,84,34500000.0,CB,2,Medium,High,68,41,65,69,87,79,49,25,45,36,73,69,61,85,59,65,80,77,87,31,70,85,88
112,84,34500000.0,CB,2,Medium,Medium,61,46,69,71,87,78,54,36,63,23,74,67,55,86,42,66,67,84,86,48,72,80,88
113,84,31500000.0,GK,1,Medium,Medium,84,82,79,86,45,84,15,15,20,13,23,46,50,80,43,59,44,33,16,15,42,40,11
114,84,35000000.0,RM,4,High,Medium,83,79,85,82,68,71,81,78,85,84,83,82,83,84,81,78,80,68,77,84,90,80,64
115,84,41500000.0,LM,4,High,Medium,81,77,82,87,51,61,81,79,84,79,87,78,91,81,94,73,77,66,45,82,84,84,58
116,84,30500000.0,RB,3,Medium,Medium,70,64,82,77,80,72,86,54,86,84,82,66,66,83,79,79,86,73,81,76,80,78,79
117,84,11000000.0,CB,2,Medium,High,54,59,69,71,85,78,44,50,56,60,79,55,55,81,53,74,63,82,86,38,71,86,87
118,84,20000000.0,RW,5,High,Medium,79,79,84,87,48,67,85,76,92,88,87,78,91,83,75,83,74,73,42,82,87,86,41
119,84,35000000.0,LW,4,Medium,Medium,83,80,82,87,35,63,77,78,83,79,87,82,85,77,89,82,74,54,41,83,84,88,34
120,84,26500000.0,LM,4,High,Medium,78,81,79,82,74,78,85,80,78,75,82,78,76,85,75,84,84,65,72,85,76,88,80
121,84,14500000.0,ST,3,Medium,Medium,63,84,71,77,45,75,63,87,65,54,84,65,62,83,55,86,69,58,50,90,74,87,54
122,84,7500000.0,CB,2,Medium,High,65,46,60,58,85,83,63,33,60,31,55,65,53,78,57,78,63,87,87,28,50,83,84
123,84,42000000.0,CM,4,High,Medium,78,77,83,82,75,81,78,76,84,76,85,76,78,81,80,80,91,76,79,78,86,81,71
124,84,81500000.0,CM,4,High,High,75,75,78,84,77,80,66,77,68,49,84,73,81,84,79,78,89,85,80,77,84,79,79
125,84,66500000.0,RM,4,High,Medium,91,81,76,86,48,73,75,80,78,62,82,91,88,86,81,86,85,69,30,84,77,81,65
126,84,61500000.0,RM,4,High,Low,93,73,75,87,42,59,76,80,71,42,85,92,92,76,93,73,82,67,48,79,77,75,48
127,84,85500000.0,CAM,5,High,Low,83,87,80,85,29,74,74,86,77,90,85,85,81,81,77,90,78,58,27,84,81,84,22
128,84,66500000.0,LW,4,Medium,Low,91,77,73,86,27,74,75,80,80,60,86,92,82,83,80,80,77,60,24,82,74,81,22
129,84,57500000.0,CB,2,High,High,84,45,64,74,85,78,45,47,42,26,74,83,71,85,74,48,76,75,86,47,62,82,85
130,84,52500000.0,CM,4,Medium,Medium,56,80,86,81,70,73,82,74,84,78,85,54,67,84,77,87,85,69,71,80,87,85,69
131,84,62500000.0,CDM,3,Medium,High,81,73,81,79,79,82,78,69,75,81,83,83,81,82,83,79,85,84,81,75,78,84,81
132,84,56000000.0,RM,4,High,Medium,91,80,75,87,34,73,76,80,75,58,87,91,88,83,75,84,84,70,25,81,77,83,28
133,84,57500000.0,CB,2,Medium,Medium,86,50,70,72,85,82,69,48,60,40,74,88,70,85,62,62,86,84,86,64,59,74,85
134,84,66000000.0,CM,3,High,High,87,74,80,79,78,80,70,69,70,66,83,91,76,84,68,83,86,81,81,78,81,82,79
135,84,49500000.0,LM,4,Medium,Medium,88,81,80,85,38,66,82,80,84,83,85,88,87,82,81,86,70,63,34,81,81,82,36
136,84,57000000.0,RWB,3,High,Medium,81,70,82,82,80,82,88,66,82,76,81,83,75,81,88,83,83,74,78,77,80,82,81
137,84,60500000.0,CB,2,Medium,High,73,35,69,71,86,82,70,26,53,36,76,77,58,86,57,49,81,84,85,39,57,82,87
138,84,84500000.0,CAM,4,Medium,Medium,81,79,79,84,45,66,74,81,84,53,85,85,77,84,75,74,77,42,38,82,82,84,39
139,84,68500000.0,CAM,5,Medium,Medium,83,80,81,88,40,67,77,79,83,67,88,83,88,83,84,80,75,68,40,85,86,86,30
140,84,53500000.0,RB,4,High,Medium,92,75,79,80,75,78,84,75,77,74,82,93,82,81,78,80,92,75,78,78,77,72,75
141,84,60500000.0,LM,4,High,Low,94,66,77,85,76,77,85,64,72,44,84,93,86,84,84,74,81,77,78,77,77,78,76
142,84,52000000.0,CDM,2,Medium,High,71,64,74,76,82,83,55,61,58,58,79,74,55,81,67,74,90,84,85,58,79,83,82
143,84,57500000.0,CAM,3,High,High,74,81,85,82,55,67,83,81,82,84,85,72,77,84,76,81,86,68,59,82,83,84,55
144,84,61500000.0,CAM,5,High,Medium,81,74,81,89,36,59,80,77,84,65,88,78,90,81,89,71,66,44,39,81,85,85,32
145,84,60500000.0,CB,2,Medium,High,86,40,60,66,86,81,56,33,38,40,66,90,74,84,71,56,73,83,85,37,48,81,86
146,84,47500000.0,CDM,3,High,High,78,76,74,79,82,87,66,73,61,54,84,79,70,81,77,84,93,84,84,74,76,84,85
147,84,53000000.0,LW,3,High,Medium,79,83,80,83,41,62,81,85,77,78,85,78,79,80,80,80,79,52,29,85,82,83,55
148,84,55000000.0,CAM,3,High,High,79,77,83,84,74,78,74,77,74,79,87,79,80,85,82,79,90,74,72,80,87,84,73
149,84,47500000.0,CB,3,Medium,High,66,62,68,73,85,83,53,50,60,60,77,68,63,87,66,80,89,88,88,64,62,80,86
150,84,48000000.0,CAM,3,High,Medium,88,79,81,82,78,81,74,80,75,63,84,90,82,85,68,84,90,82,81,84,84,83,79
151,84,63500000.0,CAM,5,High,Medium,76,75,86,84,58,63,84,75,83,85,85,75,85,74,83,76,79,63,65,79,86,78,65
152,84,86500000.0,ST,3,Medium,Medium,80,85,66,78,28,79,57,88,69,59,85,82,61,85,52,84,79,60,24,88,68,80,19
153,83,30500000.0,CB,3,Medium,High,76,47,63,67,82,82,35,32,47,71,71,76,62,84,50,73,68,85,83,52,63,75,84
154,83,42000000.0,LM,4,High,High,78,71,82,84,76,70,88,70,83,76,84,72,85,82,85,80,85,77,80,79,79,81,77
155,83,48000000.0,LM,5,High,Medium,93,77,79,87,36,56,85,75,82,64,85,93,90,78,81,83,68,54,36,77,81,80,42
156,83,43000000.0,RW,4,High,Medium,82,80,81,83,43,62,81,78,84,76,87,81,80,78,76,86,75,45,45,80,80,82,40
157,83,47500000.0,CM,3,Low,High,58,74,86,77,76,73,80,65,85,81,82,54,68,80,72,85,79,83,80,62,87,86,77
158,83,47000000.0,CM,3,High,High,73,78,81,82,82,81,77,79,80,69,85,73,75,84,72,84,84,81,84,78,81,80,80
159,83,38500000.0,CDM,3,Medium,High,84,68,78,79,81,78,78,69,70,47,80,85,76,80,74,72,90,87,86,73,78,81,83
160,83,42000000.0,CB,2,Medium,High,80,43,68,69,83,86,59,33,50,32,78,80,68,80,59,70,79,90,84,47,64,79,81
161,83,44500000.0,CM,4,Medium,Medium,61,79,80,83,74,72,72,79,75,61,88,56,71,81,67,77,90,68,76,81,84,85,70
162,83,38000000.0,LB,4,High,High,92,64,77,78,78,84,78,63,72,45,76,92,81,82,79,69,90,82,79,80,75,78,77
163,83,35000000.0,RM,4,Medium,Low,88,77,83,84,35,72,83,74,86,78,83,87,86,84,71,82,88,62,40,82,83,81,24
164,83,48500000.0,ST,4,High,High,84,82,74,86,40,74,74,83,76,54,85,82,91,85,87,84,82,75,32,86,77,78,45
165,83,37000000.0,GK,1,Medium,Medium,82,79,77,85,49,85,16,14,20,14,16,50,37,77,47,58,44,29,26,14,48,46,11
166,83,58000000.0,ST,3,High,Medium,90,82,65,78,40,81,62,88,63,48,80,93,78,84,68,79,81,69,34,85,69,79,36
167,83,40500000.0,CDM,3,High,High,55,73,77,77,80,82,68,68,70,74,80,54,65,84,67,85,87,87,82,68,73,84,83
168,83,49500000.0,CB,3,Medium,High,73,46,57,65,85,82,42,48,54,38,68,72,67,82,68,51,74,90,82,43,41,80,86
169,83,48000000.0,LM,4,High,High,91,79,77,85,50,73,79,77,81,79,84,91,88,83,79,83,86,76,55,82,77,80,47
170,83,53000000.0,CM,3,Medium,Medium,80,77,83,80,71,72,77,78,80,85,81,82,76,83,73,77,84,65,74,78,85,76,67
171,83,44000000.0,GK,1,Medium,Medium,84,80,74,88,43,79,13,10,13,12,34,51,37,81,29,56,30,24,14,10,59,66,15
172,83,50500000.0,CB,2,Medium,High,73,38,67,70,84,81,55,28,45,28,79,76,68,80,52,58,80,79,83,42,67,73,84
173,83,52000000.0,RM,4,Medium,Medium,87,82,77,84,41,74,83,82,78,76,84,87,81,81,71,86,79,60,39,81,79,78,43
174,83,52000000.0,CB,2,Medium,High,77,51,65,61,83,83,58,56,47,45,66,84,56,81,55,61,74,84,81,56,59,76,82
175,83,0.0,CDM,3,High,High,58,71,78,75,79,83,63,66,73,72,78,62,63,83,66,86,86,95,79,72,83,81,82
176,83,30500000.0,ST,3,High,Medium,78,82,63,79,35,85,47,87,55,62,84,79,67,82,58,86,78,72,20,86,66,82,44
177,83,42500000.0,CF,4,High,Medium,85,84,77,87,50,74,75,86,82,65,87,85,90,84,88,83,83,79,48,86,82,77,42
178,83,38500000.0,CB,2,Medium,High,71,46,57,60,85,83,47,37,36,44,66,71,52,78,56,73,70,88,84,25,46,75,87
179,83,47000000.0,CAM,4,High,High,82,78,83,87,68,64,82,77,85,81,86,81,90,82,85,79,80,63,78,81,85,80,55
180,83,45500000.0,CB,2,High,Medium,78,50,56,65,84,79,46,49,42,24,65,78,66,79,66,68,70,82,84,58,45,74,83
181,83,13500000.0,RB,5,High,Medium,90,75,78,87,76,72,84,70,82,69,85,89,93,82,81,84,78,78,73,75,72,74,75
182,83,36500000.0,CAM,4,Medium,Medium,81,77,81,86,70,62,73,75,80,65,87,79,85,81,79,79,79,56,75,80,84,75,69
183,83,8000000.0,RB,4,High,Medium,85,68,82,81,79,57,88,63,82,51,82,84,82,84,84,74,80,75,80,81,83,82,82
184,83,9500000.0,CB,2,High,Medium,56,61,71,68,83,76,57,65,58,43,80,62,56,80,34,62,61,79,83,66,72,86,82
185,83,4000000.0,GK,1,Medium,Medium,81,78,79,86,45,81,18,12,13,15,40,49,60,82,47,59,34,35,20,13,59,67,14
186,83,28500000.0,CM,3,High,High,66,74,83,78,78,81,82,73,80,74,83,66,66,85,67,77,86,83,81,78,80,80,77
187,83,12500000.0,CDM,3,Medium,Medium,65,62,76,73,83,81,62,54,65,53,78,67,70,82,62,76,81,84,84,62,79,78,83
188,83,18000000.0,GK,1,Medium,Medium,84,77,69,87,40,82,11,11,11,15,20,44,43,83,39,52,34,31,18,9,53,48,10
189,83,12000000.0,CAM,4,High,Medium,61,72,86,85,52,53,83,70,82,77,86,55,80,82,89,72,65,56,50,84,89,90,58
190,83,18000000.0,GK,1,Medium,Medium,83,82,79,84,49,79,14,11,12,11,17,51,45,82,43,59,39,32,21,10,41,52,15
191,83,30500000.0,CAM,4,Medium,Medium,80,82,83,85,52,72,83,82,86,85,85,80,90,85,83,82,85,73,49,88,85,89,43
192,83,35500000.0,CM,4,Medium,Medium,54,75,86,83,57,57,69,75,86,79,90,54,68,75,83,78,68,29,59,76,92,80,58
193,83,35500000.0,CF,5,High,High,74,76,79,87,59,78,73,76,81,65,88,74,84,85,86,77,87,75,58,82,83,88,55
194,83,34500000.0,CB,3,High,Medium,72,51,71,75,84,77,62,52,52,37,83,76,66,82,59,55,73,80,83,52,67,80,84
195,83,35500000.0,RW,5,High,High,76,77,87,83,50,65,88,73,90,78,84,74,83,83,78,83,78,73,51,81,88,79,44
196,83,34500000.0,CM,3,Medium,Medium,70,72,84,79,78,79,85,69,84,77,81,69,72,84,81,81,91,78,82,76,83,85,81
197,83,33000000.0,RB,3,High,High,79,67,79,81,80,73,82,66,78,52,83,76,76,82,79,74,76,79,79,77,77,81,81
198,82,38000000.0,CAM,4,High,Medium,73,78,84,85,54,62,81,76,86,84,86,69,84,78,83,83,76,68,44,81,85,84,59
199,82,20500000.0,GK,1,Medium,Medium,82,79,80,83,54,81,12,15,19,20,15,52,58,79,50,60,42,26,21,12,62,61,15
200,82,25500000.0,CF,4,Medium,Medium,71,80,79,85,30,72,76,79,79,78,85,67,84,84,86,82,76,73,21,82,82,81,35
201,82,30000000.0,RW,4,High,Medium,91,73,75,86,50,52,78,74,78,56,85,91,90,83,89,75,77,47,58,80,81,81,52
202,82,27500000.0,RB,3,Medium,Medium,85,66,73,77,78,80,78,64,69,69,77,85,78,80,78,72,90,75,79,70,66,77,80
